Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance *100,BWTRLENCD Distance,Monge Elkan Distance *10
0.55,"30 E, O Block Kidwai Nagar, Kanpur Nagar, Uttar Pradesh","Kanpur, Kanpur Nagar, Uttar Pradesh, 208012, India",0.309090909,0.651089271,0.590909091,0.74370082,0.007603306,0.204081633,0.07603306
0.65,"Doda, Jammu And Kashmir","Bani, Tsinut, Bhaderwah, Doda District, Jammu and Kashmir, 182222, India",0.305555556,0.602510613,0.301369863,0.540620506,0.020793951,0.03030303,0.20793951
0.7,"37 D Lowther Road, Allahabad, Uttar Pradesh","Adarsh Hospital, Lowther Road, George Town, Prayagraj, Uttar Pradesh, 211002, India",0.409638554,0.622622682,0.431818182,0.636077923,0.010546241,0.064935065,0.10546241
0.65,"Doda, Jammu And Kashmir","bhargi, guno, Gandoh, Doda District, Jammu and Kashmir, India",0.360655738,0.544415406,0.35483871,0.58734577,0.020793951,0.053571429,0.20793951
0.65,"Chaibasa, Tungri, Chaibasa, Jharkhand","Gayatary Seva Sadan, Tambo Road, Tāmbo, Chaibasa, Pashchimi Singhbhum, Jharkhand, 833201, India",0.284210526,0.621682983,0.375,0.607211287,0.013513514,0.168674699,0.13513514
0.6,"1st Floor, Near L G Showroom, Ner Chowk, Mandi, Himachal Pradesh","Aditya Jyoti Eye Hospital, SH32 Ner Chowk Jahu Road, Ghasrarah, Ner, Mandi, Himachal Pradesh, 175008, India",0.38317757,0.655731643,0.513274336,0.700883955,0.007568359,0.153061224,0.07568359
0.5,"Bambakhana Street, Near Thakar Dwara Mandir, Mama Kotha Road, Bhavnagar, Gujarat","Bhavnagar, Bhavnagar Taluka, Bhavnagar District, Gujarat, 364001, India",0.25,0.641479103,0.51,0.676699738,0.005078125,0.2,0.05078125
0.8,"Boarijore, Godda, Jharkhand","Bara Boarījor, Boarijor, Godda, Jharkhand, 813208, India",0.446428571,0.680877764,0.456140351,0.66864785,0.017832647,0.137254902,0.17832647
0.67,"Tiruchirappalli, Tamil Nadu","Apollo Speciality Hospitals, Tiruchchirappalli Bypass, Ariyamangalam, Ariyamangalam Zone, Trichy Corporation Limits, Tiruchirappalli, Tiruchirappalli District, Tamil Nadu, 620010, India",0.145945946,0.520095095,0.145945946,0.382028724,0.018518519,0.11409396,0.18518519
0.5,"Khurai Road Chandrasekhar Ward Bina, Sagar, Madhya Pradesh","Bina Etawa, Bina Tahsil, Sagar, Madhya Pradesh, 470113, India",0.31147541,0.662927932,0.525641026,0.689294705,0.007580262,0.160714286,0.07580262
0.65,"Sukma, Chhattisgarh","Govt Nursing College Sukma, मिनी स्टेडियम मार्ग, Sukma, Sukma Tahsil, Sukma, Chhattisgarh, 494111, India",0.182692308,0.540317139,0.182692308,0.427425207,0.026315789,0.054945055,0.26315789
0.7,"R H Dediapada Narmada, Narmada, Gujarat","Dediapada, Dediapada Taluka, Narmada District, Gujarat, 393040, India",0.434782609,0.658703615,0.479452055,0.674700754,0.012163051,0.177419355,0.12163051
0.6,"Near Sub. Post-Office (Iti), Bansi Road, Katra, Basti, Uttar Pradesh","Sant Kabir Eye Hospital, NH28, Basti, Uttar Pradesh, 272001, India",0.235294118,0.658273916,0.595238095,0.746351793,0.006271626,0.092307692,0.06271626
0.75,"Yamuna Nagar, Haryana","Bilaspur, Yamunanagar, Haryana, 135102, India",0.4,0.665608466,0.434782609,0.650600049,0.022675737,0.095238095,0.22675737
0.85,"C U Shah Medical College Hospital, Dudhrej Road, Surendra Nagar, Gujarat","C.U.Shah Medical college and hospital, NH147A, Surendranagar, Surendranagar Taluka, Surendranagar District, Gujarat, 363001, India",0.446153846,0.665644377,0.507462687,0.702863496,0.006847994,0.169642857,0.06847994
0.55,"Civil Hospital, Field Ganj, Namdhari Samarak Park, Ludhiana, Punjab","CH Ludhiana, Jail Road, Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141008, India",0.348314607,0.627749115,0.485714286,0.660446695,0.006014703,0.136363636,0.06014703
0.3,"ST Road Near ST Bus Stand Porbandar, Porbandar, Gujarat","Bhavnagar, Bhavnagar Taluka, Bhavnagar District, Gujarat, 364001, India",0.211267606,0.572381088,0.4,0.576092182,0.006942149,0.066666667,0.06942149
0.3,"Meherpur, Union Flour Mill, Assam","Silchar Cancer Hopspital, SH39, Silchar, Cachar, Assam, 788014, India",0.246376812,0.552810716,0.324675325,0.523912178,0.012396694,0.047619048,0.12396694
0.65,"Near Rose Garden Chowk, Bathinda, Punjab","Brar Eye Hospital, GT Road, Aggarwal Colony, Mata Jeewi Nagar, Bathinda, Bathinda Tahsil, Bathinda, Punjab, 151001, India",0.256198347,0.57856159,0.319672131,0.560585585,0.0121875,0.117647059,0.121875
0.6,"Pehowa Road Dudhan Sadhan, Patiala, Punjab","Dudhan Sadhan, Patiala Tahsil, Patiala, Punjab, 147111, India",0.37704918,0.686139301,0.560606061,0.730991221,0.010487528,0.301886792,0.10487528
