Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance,BWTRLENCD Distance,Monge Elkan Distance*10
0.6,"A 364 Rajendra Nagar, Bareilly, Uttar Pradesh","K K Hospital And Kidney Centre, IVRI Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243122, India",0.324324324,0.591416416,0.368421053,0.594266904,0.01037037,0.144230769,0.1037037
0.7,"Jora Talab Road Bariatu, Ranchi, Jharkhand","Lake View Hospital, Joda Talab Road, Nawātoli, Bariātu, Ranchi, Kanke, Ranchi, Jharkhand, 834009, India",0.388349515,0.645074779,0.394230769,0.623362395,0.011904762,0.146067416,0.11904762
0.5,"Mahatma Gandhi Road, Mysore, Karnataka","Udayagiri, Mysuru, Mysuru taluk, Mysuru district, Karnataka, 570001, India",0.297297297,0.586025875,0.34939759,0.546877858,0.010387812,0.112903226,0.10387812
0.6,"Laxmeshwar Road, Kundagol, Dharwad, Karnataka","Government First Grade College, SH73, Kundagola, Kundagola taluku, Dharwad district, Karnataka, India",0.366336634,0.628309498,0.377358491,0.593325546,0.01037037,0.105263158,0.1037037
0.5,"Dhamar Kothi, Sahid Bhawan More, Arrah, Bhojpur, Bihar","Arrah, Bhojpur, Bihar, 802300, India",0.259259259,0.578703704,0.475409836,0.657733357,0.007887517,0.096153846,0.07887517
0.6,"Tagore Nagar, Ludhiana, Punjab","Katyal Heart Centre, College Road, Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141001, India",0.24,0.541111111,0.274509804,0.51120772,0.016111111,0.117647059,0.16111111
0.65,"Janani Surya Clinic, Ramgarh, Jharkhand","Cantonment, Ramgarh, Jharkhand, 829103, India",0.311111111,0.625295075,0.527272727,0.692244378,0.011176857,0.186046512,0.11176857
0.6,"Shivaji Nagar New Khursipar Opposite Police Station Bhilai, Durg, Chhattisgarh","Bhilai, Durg Tahsil, Durg, Chhattisgarh, 490023, India",0.230769231,0.57977208,0.450549451,0.63174189,0.004766601,0.082191781,0.04766601
0.65,"137, Srikakulam, Andhra Pradesh","Kims Sai Seshadri Hospital, SRIKAKULAM ROAD, Bhadirivanipeta, Srikakulam, Andhra Pradesh, 532001, India",0.27184466,0.530178863,0.288461538,0.530911088,0.015608741,0.06,0.15608741
0.65,"100 Feet Road, Hinducolony, Nanagnanllur, Chennai 61, Kanchipuram, Tamil Nadu","Hindu Mission Health Services, Kanchipuram, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Chennai, Kanchipuram District, Tamil Nadu, 603209, India",0.296511628,0.643357495,0.431034483,0.651705937,0.006324844,0.132075472,0.06324844
